report_date,online_store,upc,retailer_product_code,brand,category,sub_category,product_description,review_date,review_rating,review_title,review_text,is_competitor,manufacturer,market,matched_keywords,time_of_publication,url,review_type,parent_review,manufacturers_response,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,verified_purchase,helpful_review_count,review_hash_id
22022019,amazon,87116e12,b00p7pfddm,lynx,personal care,deodorants fragrances,lynx africa body spray deodorant aerosol 200ml,23012019,5,very good,nice,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2o4v4yc4k5pqrefcmcrarpdrvwttlieutf8asinb00p7pfddm,organic,parent,,deodorants fragrances,male body spray,male body spray,na,na,na,retailer core of the core,core of the core,true,0,3e805a90132600c515f6271548cb4ef8
22022019,amazon,871045e12,b073v3svm9,surf,homecare,laundry,surf tropical lily washing liquid 85 wash 3l,23012019,5,hope its there when i need it again,perfect,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsrzhn7762xvizrrefcmcrarpdrvwttlieutf8asinb073v3svm9,organic,parent,,laundry,cotc washing liquid,na,na,na,na,retailer core of the core,core of the core,true,0,4690c9df9e7d4b3d1f52a93d9246c353
22022019,amazon,871045e12,b075k3d4cg,surf comfort,homecare,laundry,surf comfort fragrance essential laundry kit 3 items,09022019,1,terrible,it was spilled everywhere in the box,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1cekqdcmdhyw0refcmcrarpdrvwttlieutf8asinb075k3d4cg,organic,parent,,laundry,cotc washing liquid,fragrance washing liquid,na,na,na,retailer core of the core,core of the core,true,1,60dd061aa3b5680e116a48d2e77f44be
22022019,amazon,871045e12,b077yk7glf,comfort,homecare,laundry,comfort sunshiny days fabric conditioner 166 wash 5l,23012019,5,great scent,absolutely love this scent makes your clothes smell fresh as well the bed linnen,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1efp6tlmndfhrefcmcrarpdrvwttlieutf8asinb077yk7glf,organic,child,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,0598f639e356316dd2b11ef3a6981ccd
22022019,amazon,871045e12,b077ylq2r1,comfort,homecare,laundry,comfort pure fabric conditioner 166 wash 5l,23012019,5,great scent,absolutely love this scent makes your clothes smell fresh as well the bed linnen,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1efp6tlmndfhrefcmcrarpdrvwttlieutf8asinb077ylq2r1,organic,parent,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,retailer core of the core,core of the core,true,0,359b0e597291c7a6e26d15855097a714
23022019,boots,501145e12,4642422,simple,personal care,skin care,simple regeneration age resisting cleansing wipes 25 wipes,24012019,5,very good,i picked up in a rush in store and am so pleased i did these remove make up with ease and leave my skin feeling tighter and brighter i use both sides of the wipe and it remains strong and moist i usually use micellar water but will continue to use these because they are just so good no overpowering scent no perfume or colour excellent quality and immediate results try them you will not be disappointed super soft skin with no residue very pleased,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,skin care,wipes,wipes,na,na,na,retailer core of the core,core of the core,false,0,9d9f64ab58b653101f1226df954858fa
23022019,ocado,871256e12,67211011,dove,personal care,skin cleansing,dove deeply nourishing body wash 500ml,04022019,5,gorgeous shower cream no sls,i usually buy organic cosmetics and wanted a natural product without the high price tag i was delighted to find this this shower cream is one of the few big brands which does not contain sls a harmful skin irritant added as a foaming agent to create a lather it is silky smooth thick and creamy gentle on the skin and rich enough to moisturise my dry mature skin it has a gorgeous delicate fragrance and feels far more expensive than it is excellent value especially for a product which contains no sodium laureth sulfate sodium lauryl sulfate or parabens,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,skin cleansing,shower general,shower general,na,na,na,retailer core of the core,core of the core,false,0,c0e38415f5bd6bed365cc6eb08b24bb0
23022019,ocado,871811e12,56134011,hellmanns,foods,dressings,hellmanns real squeezy mayonnaise 750ml,30012019,3,shame about the bottle,the mayonnaise would get 5 stars from me for taste but the container is style over substance the squeezy bottle is in itself a genius idea but thats where it stops it is too tall for the size of cap making it top heavy and unstable every bottle ive ever put in my fridge has tumbled out the cap is made of brittle plastic so it shatters as it hits the kitchen floor its like groundhog day each time it happens then as other reviewers have commented its impossible to get all the product out of the bottle surely this container is crying out for a design overhaul,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,dressings,mayonnaise,mayonnaise,na,na,na,retailer core of the core,core of the core,false,0,88103c611b0ee48a0c2ecad9d395877b
23022019,ocado,76840600021,13117011,ben jerrys,refreshment,ice cream,ben jerrys classic cookie dough ice cream 500ml,24012019,5,yummy ice cream,this ice cream is great the cookie dough pieces are just the right size and the ice cream itself is so creamy and delicious the only problem is that once you open the tub its impossible to stop eating until its all gone,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,ice cream,ben jerrys,ben jerrys,na,na,na,retailer core of the core,core of the core,false,0,140290666359d48477dc8ddf89cd13d7
23022019,ocado,871257e12,311975011,magnum,refreshment,ice cream,magnum white ice cream 8 x 110ml,30012019,5,heavenly,my nightly treat perfection,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,ice cream,magnum,magnum,na,na,na,retailer core of the core,core of the core,false,0,4ef790f6eca334289afd4f6add600133
23022019,ocado,871257e12,311975011,magnum,refreshment,ice cream,magnum white ice cream 8 x 110ml,05022019,5,the best,just perfect and even better on offer,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,ice cream,magnum,magnum,na,na,na,retailer core of the core,core of the core,false,0,233dc55a6f81ccb81466ad657af8092d
23022019,ocado,501145e12,74007011,simple,personal care,skin care,simple kind to skin cleansing facial wipes 2 x 25pc,09022019,5,fab face wipes,as far as im concerned these are the best remove all makeup even waterproof mascara have tried many other makes none as good as these for me,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,skin care,wipes,wipes,na,na,na,nonretailer core of the core,core of the core,false,0,e35501af7b60f9d143adc3f4ad7fa3d7
23022019,ocado,500019e12,31014011,domestos,homecare,household care,domestos original thick bleach 750ml,05022019,5,quality product,ive tried alot of bleaches and other toilet cleaning products over the years and keep coming back to domestos far superior to others i have tried really thick and does an excellent cleaning job always reliable,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,household care,bleach,bleach,na,na,na,retailer core of the core,core of the core,false,0,501578e1e841bfdd8e6b69a400ef7f33
23022019,ocado,500018e12,58820011,hellmanns,foods,dressings,hellmanns real mayonnaise 800g,26012019,5,simply the best,ive tried many alternatives and the only mayo that beats this is homemade its reliable tasty versatile and lasts for ages in the fridge,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,dressings,mayonnaise,mayonnaise,na,na,na,retailer core of the core,core of the core,false,0,87ee4aa80d1e51c6cfe1df7e29a1fe80
23022019,amazon,87121e12,b003xwy0hq,pg tips,refreshment,tea and soy fruit beverages,pg tips original tea bags 240,24012019,1,bad quality,more than half the bags were split,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2x5gj5u7jk592refcmcrarpdrvwttlieutf8asinb003xwy0hq,organic,child,,tea and soy fruit beverages,black tea,black tea,na,na,na,nonretailer core of the core,core of the core,true,0,2a5fc759ae0c3d3b50c79ed53a87dbe0
23022019,amazon,871045e12,b07bnkmtmh,persil,homecare,laundry,persil powercaps non bio washing capsules 38 wash 1026g,24012019,5,lovely scent,good value for money wash really well lovely smell,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3s9afgdcq9ew5refcmcrarpdrvwttlieutf8asinb07bnkmtmh,organic,child,,laundry,non bio washing capsules,non bio washing capsules,na,na,na,retailer core of the core,core of the core,true,1,768534397bf34cbd7db9658acbdddc94
23022019,amazon,871045e12,b07bnmh6s8,persil,homecare,laundry,persil powercaps bio washing capsules 38 wash 1026g,24012019,5,lovely scent,good value for money wash really well lovely smell,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3s9afgdcq9ew5refcmcrarpdrvwttlieutf8asinb07bnmh6s8,organic,child,,laundry,bio washing capsules,bio washing capsules,na,na,na,retailer core of the core,core of the core,true,1,0fc8a1872592fe0b4358ab06344cc119
23022019,amazon,871045e12,b07ccnvlxy,persil,homecare,laundry,persil powercaps colour washing capsules 38 wash 1026g,24012019,5,lovely scent,good value for money wash really well lovely smell,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3s9afgdcq9ew5refcmcrarpdrvwttlieutf8asinb07ccnvlxy,organic,child,,laundry,colour washing capsules,colour washing capsules,na,na,na,retailer core of the core,core of the core,true,1,e9b4f1ffe8cfe0b381b93d14f202c261
23022019,amazon,871045e12,b07cz66mj2,persil,homecare,laundry,persil powercaps bio washing capsules 50 wash 1350g,24012019,5,lovely scent,good value for money wash really well lovely smell,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3s9afgdcq9ew5refcmcrarpdrvwttlieutf8asinb07cz66mj2,organic,child,,laundry,bio washing capsules,bio washing capsules,na,na,na,nonretailer core of the core,core of the core,true,1,cadfd7467e461089c744470041b8c66f
23022019,amazon,871045e12,b07czgktyb,persil,homecare,laundry,persil powercaps non bio washing capsules 50 wash 1350g,24012019,5,lovely scent,good value for money wash really well lovely smell,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr3s9afgdcq9ew5refcmcrarpdrvwttlieutf8asinb07czgktyb,organic,parent,,laundry,non bio washing capsules,non bio washing capsules,na,na,na,retailer core of the core,core of the core,true,1,b6f30ccdc945233dba409a1c803ff272
24022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,25012019,5,beautifully moisturising,i love this range of body lotions as they arent greasy are easy to apply and soak in quickly and leave my skin feeling super soft and moisturised great value for money and the scent is fresh and light a great go to beauty essential in my bathroom cupboard this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,02f02b25674ae9fc910d32aed1d0c6bb
24022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,25012019,5,very soothing,i am very happy with the vaseline intensive care cream as it gentle and soothes the skin i am very fussy about the products i purchase as i have sensitive and dry skin but this product ticks all the boxes and is perfect for my skin type very happy with it this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,02eee7a9c35bb9d1354c271eabebd9fb
24022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,25012019,5,smells and feels amazing,this morning i received a bottle of vaseline aloe soothe from tryit sampling i just couldnt wait to try it my skin feels and smells amazing the lotion was easy to apply and soaked right in love it this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,c02f81d5d542150560d095e7e68d391f
24022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,25012019,5,excellent product,i suffer from dry skin from ages and i am always looking to find the best product who will give my skin relieve now i can stop looking because finally i find my product vaseline intensive care aloe first it come in this big bottle so you dont worry about finishing it too fast then come the smell it so nice clean and fresh and finally and the most important the relieve its so soothing really and its absorb very fast so you dont need to wait to put your clothes on i really love it this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,51000df2009cd3bb629d53221dd92ca1
24022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,25012019,5,absolutely gorgeous,this cream is one of the best body creams ive tried i was not expecting much but i was very pleasantly surprised by this cream it is a nice creamy white texture not at all greasy it absorbs quickly into your skin and makes it feel lovely soft and smooth this cream also has an absolutely gorgeous and refreshing smell of aloe vera which i could smell all day its so lovely this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,4578d8efca2fe13f77dceedf2bb4989e
24022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,25012019,3,decent regular lotion,this is a decent everyday lotion with a clean light scent its not a luxury nor a natural product theres more petrolatum than aloe in it and is fairly light in texture but does the job of effective moisturizing for a good price especially while skin is still damp this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,f91561c361ab4df648e4c03d5b18cff8
24022019,amazon,871764e12,b00oq3kbzg,sure,personal care,deodorants fragrances,sure maximum protection clean scent cream antiperspirant deodorant 45ml,25012019,5,brilliant,usually purchase at costco but these are extremely good value would definitely recommend this,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1z8qhwi3jy2mzrefcmcrarpdrvwttlieutf8asinb00oq3kbzg,organic,parent,,deodorants fragrances,female antiperspirant deodorant,female antiperspirant deodorant,na,na,na,retailer core of the core,core of the core,true,0,835896197673294f59b37c085c2b3ddb
24022019,amazon,501145e12,b01gjebe78,simple,personal care,skin care,simple regeneration age resisting day cream 50ml,25012019,5,lovely face cream,lovely day cream makes my skin feel lovelyhelps with ageing,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2yulkuwewinjprefcmcrarpdrvwttlieutf8asinb01gjebe78,organic,child,,skin care,cleansing lotion,cleansing lotion,na,na,na,nonretailer core of the core,core of the core,true,0,410bd0b5e0662dfbb24451913dc058d0
24022019,amazon,871256e12,b0731c28t7,comfort,homecare,laundry,comfort creations cherryblossom sweetpea fabric conditioner 33 wash 116l,25012019,5,great,great product and arrived quickly nice scent,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr39npf3r9d5m1irefcmcrarpdrvwttlieutf8asinb0731c28t7,organic,child,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,f9e070f80b8c5a787eb277139a1e92ab
24022019,amazon,871256e12,b0731c6qg5,comfort,homecare,laundry,comfort intense fuchsia passion fabric conditioner 38 wash 570ml,25012019,5,great,arrived on time well packaged great product dont need much as it has strong fragrance,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1fnbru0uh4l76refcmcrarpdrvwttlieutf8asinb0731c6qg5,organic,parent,,laundry,cotc fabric conditioner,intense fabric conditioner,na,na,na,retailer core of the core,core of the core,true,0,2369d410a731657800df2520ba27d73e
24022019,amazon,871256e12,b073qrr4sc,comfort,homecare,laundry,comfort strawberry lily fabric conditioner 33 wash,25012019,5,great,great product and arrived quickly nice scent,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr39npf3r9d5m1irefcmcrarpdrvwttlieutf8asinb073qrr4sc,organic,child,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,30e741ba2b63182646d0b46f9d597d19
24022019,amazon,871256e12,b073qsdf1s,comfort,homecare,laundry,comfort honeysuckle sandalwood fabric conditioner 33 wash,25012019,5,great,great product and arrived quickly nice scent,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr39npf3r9d5m1irefcmcrarpdrvwttlieutf8asinb073qsdf1s,organic,parent,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,retailer core of the core,core of the core,true,0,303445a2bcf1f866b8a6a8c433828c28
24022019,amazon,871045e12,b075gqbnnb,persil comfort,homecare,laundry,persil comfort new baby essential laundry kit 3 items,25012019,5,good value for money,really good value for money perfect for washing my babies clothes with,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr19fykunvw8dxurefcmcrarpdrvwttlieutf8asinb075gqbnnb,organic,parent,,laundry,cotc non bio washing liquid,non bio washing liquid,na,na,na,retailer core of the core,core of the core,true,0,d5de900352897070cbd7107389d5cd79
24022019,amazon,871045e12,b077yk7glf,comfort,homecare,laundry,comfort sunshiny days fabric conditioner 166 wash 5l,25012019,1,product leaked in transit,the product has leaked over all my order do you have any suggestion why i can do,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2xkb28v1ki9ikrefcmcrarpdrvwttlieutf8asinb077yk7glf,organic,child,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,35a7a99efedc220a8502f356940a5f95
24022019,amazon,871045e12,b077yk7glf,comfort,homecare,laundry,comfort sunshiny days fabric conditioner 166 wash 5l,25012019,5,excellent value,love the smell and softness,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1ijn1pc9290korefcmcrarpdrvwttlieutf8asinb077yk7glf,organic,parent,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,nonretailer core of the core,core of the core,true,0,0e259f6b334e1e880afeb88e2b18bd68
24022019,amazon,871045e12,b077ylq2r1,comfort,homecare,laundry,comfort pure fabric conditioner 166 wash 5l,25012019,1,product leaked in transit,the product has leaked over all my order do you have any suggestion why i can do,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr2xkb28v1ki9ikrefcmcrarpdrvwttlieutf8asinb077ylq2r1,organic,parent,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,retailer core of the core,core of the core,true,0,c6be2ae3042933c42897f3bbbe17cbf4
24022019,amazon,871045e12,b077ylq2r1,comfort,homecare,laundry,comfort pure fabric conditioner 166 wash 5l,25012019,5,excellent value,love the smell and softness,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr1ijn1pc9290korefcmcrarpdrvwttlieutf8asinb077ylq2r1,organic,child,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,retailer core of the core,core of the core,true,0,0e01a9841b45d75bced7dad31163cf7a
25022019,ocado,871764e12,346448011,comfort,homecare,laundry,comfort pure fabric conditioner 85 wash 3l,26012019,5,excellent,excellent product having been using it for awhile now suitable for the whole family which makes it an obvious choice,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,organic,parent,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,retailer core of the core,core of the core,false,0,0245606711a5c71e6f827dd86323e182
25022019,boots,501145e12,2244551,simple,personal care,skin care,simple regeneration age resisting night cream 50ml,26012019,1,awful,started using this as i could not find my old simple night cream i m not very impressed it seems to be causing me breakouts and eye irritation makes no difference to skin the sots make it worse,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,moisturisers,moisturisers,na,na,na,retailer core of the core,core of the core,false,0,1f334f798d4cdab8642b42cdafb173a2
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,a balm for dry skin,i loved the sweet smell of this body lotion the cream is thick and it absorbs quickly into the skin the bottle states that it has a nongreasy formula and i found that to be correct i applied the lotion in the morning and 10 hours later my skin still felt soft this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,05da7fa13e4fd663aa0883b2bb7b0196
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,leaves my skin so soft,i use body lotion but had never tried the vaseline ones before i wish i had it has such a pleasant fragrance and leaves my skin so soft and nourished after showering i have some areas of dry skin and i tend to use before bed i really notice a difference from my previous lotion in the morning this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,239d9b4b5b95c0d074ad9c383f64fcec
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,fantastic product,i got this a couple of days ago and used it after i had a shower it smells really nice and is really goodit leaves my skin soft and smooth and last all day this cold weather i need something like this its really good keep my skin moisturised and fresh all day this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,e345d0e99c3fe8728188cb57596fec78
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,easily absorbed and smells great,this lightly fragranced lotion dispenses easily from the bottle i found it spread well across my skin and was absorbed quite quickly it really seemed to work well on my dryer areas such as knees and elbows so i tried it on my feet also this was a revelation to me as being quite thin it was absorbed very quickly which meant no need for bed socks nor me slipping all over the place all night and also it moisturised my feet really well i am really impressed with this versatile lotion this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,3107ef83277e7c7c900594300cea68bf
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,really makes a difference,weve been using this for months its a lovely product i have dry skin and using it just twice a week helps to keep it under control my eldest daughter has eczema and she uses a small amount every night on her elbows it really helps it smells lovely and absorbs quickly it doesnt leave any stickiness or residue like some products do we love this product a lot this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,4a674b66c005a9f997301e7e5ac224c2
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,really good highly recommended,i suffer from bad dry skin during the winter and started using vaseline intensive care aloe soothe body lotion and the results are amazing my skin feels so soft and smooth i am very happy with it and will continue to use daily this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,346ec0175a9a503079590500adfe05d8
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,fantastic for dry skin,love this cream it heavy but not overly so soaks into your skin and keeps you moisturised for ages has a really soft fragrance but not overly perfumed reminded me of my holiday i suffer with really dry arms and hands and after a few applications looked and felt significantly better this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,14224924fef9d15a7228e283d818fdcb
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,perfect for this time of year,winter has left me with very dry skin especially on my hands and wrists so this was a perfect solution this moisturiser has a very clean fresh smell of aloe and absorbs really quickly into your skin there is no greasy feel and only a small amount is needed to make a difference the 400ml bottle should last me well into the spring and i will be adding it to my daily routine this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,b77b94d661dc753f577a517b735896ba
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,a miracle in a bottle absolutely love this product,i suffer from dry sensitive skin and vaseline products are one of very few moisturizers i can use without my skin reacting by flaring up or itching terriblythe first thing i noticed was the beautiful fresh aroma as soon as i clipped open the lidas soon as i applied a drop onto my skin i instantly felt a soothing sensation and didnt feel greasy unlike many moisturizers and absorbed quickly but effectively as my skin quickly felt moisturised and hydrated this product has helped my dry skin problem massively i use it every day particularly after showering or bath and also before bed with the confidence my skin will still be feeling freshly moisturised come the morning fantastic product and definatly a recommendation from me this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,733bb6cbe4c4b08ad55173c699635c75
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,a miracle in a bottle absolutely love this product,i suffer with dry sensitive skin and vaseline is one of very few products that doesnt make my skin flare up and itch like crazythe first thing i noticed was the beautiful fresh smell that escaped as i lifted the cap as i applied a drop to my skin i instantly felt a soothing relief and easily moisturised into my skin absorbing effortlessly and not at all greasy unlike alot of other moisturisers ive tried i use this product every day and it has improved my dry skin condition massively couldnt recommend this product enough i absolutely love it this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,5e7eb19204b6eee6ea8ab3189e80e838
25022019,boots,871256e12,6083218,vaseline,personal care,skin care,vaseline intensive care aloe soothe body lotion 400ml,26012019,5,smells fab,love how light and none sticky this moisturiser is it goes on well and soaks in not leaving a residue i tend to use it all over and it leaves my skin feeling soft and moist its not too heavy and good for everyday use this review was collected as part of a promotion,0,unilever global,uk,,,httpswwwsainsburyscoukshopgbgroceriesshower1263244simpleshowerrefreshingshowergel250mlreviews,syndicated,parent,,skin care,body lotion,body lotion,na,na,na,retailer core of the core,core of the core,false,0,b34a927169eb8b54e309229bb6bab1d2
25022019,amazon,871045e12,b077ylq2r1,comfort,homecare,laundry,comfort pure fabric conditioner 166 wash 5l,26012019,5,great value,its what we usually use so getting this big carton was a no brainer it lasts months and is one of our 2 preferred products ideal for sensitive skin and if you do a fair bit of washing,0,unilever global,uk,,,httpwwwamazoncoukgpcustomerreviewsr28p0wsrujlqplrefcmcrarpdrvwttlieutf8asinb077ylq2r1,organic,parent,,laundry,cotc fabric conditioner,cotc fabric conditioner,na,na,na,retailer core of the core,core of the core,true,0,d9b3a2ef36a9a525155eb2aa091ba473
